CustomerKey,FirstName,LastName,EmailAddress,YearlyIncome,TotalChildren,Education,Occupation,GeographyKey
37,Lisa,Jones,lisa.jones37@email.com,33080,1,Graduate Degree,Management,1
38,Jane,Williams,jane.williams38@email.com,125058,1,High School,Professional,3
39,Tom,Jones,tom.jones39@email.com,40777,0,Bachelors,Clerical,10
40,David,Williams,david.williams40@email.com,91887,1,High School,Professional,6
41,Lisa,Jones,lisa.jones41@email.com,67773,3,High School,Management,3
42,Lisa,Brown,lisa.brown42@email.com,124947,0,Bachelors,Professional,10
43,David,Rodriguez,david.rodriguez43@email.com,92462,0,Bachelors,Professional,4
44,Anna,Williams,anna.williams44@email.com,122637,0,Graduate Degree,Professional,3
45,John,Davis,john.davis45@email.com,33092,1,Graduate Degree,Management,9
46,John,Rodriguez,john.rodriguez46@email.com,112758,1,Bachelors,Professional,7
47,Chris,Jones,chris.jones47@email.com,129332,3,Graduate Degree,Professional,6
48,Anna,Rodriguez,anna.rodriguez48@email.com,126803,3,High School,Management,5
49,David,Williams,david.williams49@email.com,101986,2,High School,Clerical,5
50,John,Smith,john.smith50@email.com,81054,4,Graduate Degree,Professional,4
51,Tom,Martinez,tom.martinez51@email.com,149084,0,Graduate Degree,Skilled Manual,4
52,David,Rodriguez,david.rodriguez52@email.com,126971,4,Graduate Degree,Clerical,8
53,Emily,Martinez,emily.martinez53@email.com,136168,2,High School,Management,4
54,Sarah,Jones,sarah.jones54@email.com,59386,0,Bachelors,Management,3
55,Anna,Davis,anna.davis55@email.com,123178,3,Bachelors,Management,3
56,Emily,Jones,emily.jones56@email.com,93340,0,High School,Skilled Manual,2
57,Chris,Smith,chris.smith57@email.com,51426,4,High School,Professional,1
58,Mike,Martinez,mike.martinez58@email.com,76334,1,Bachelors,Management,7
59,David,Brown,david.brown59@email.com,119598,1,High School,Management,3
60,John,Williams,john.williams60@email.com,138477,2,Bachelors,Skilled Manual,5
61,Emily,Smith,emily.smith61@email.com,50582,3,Bachelors,Professional,5
62,Emily,Rodriguez,emily.rodriguez62@email.com,92756,4,Bachelors,Clerical,9
63,Mike,Rodriguez,mike.rodriguez63@email.com,90017,3,Graduate Degree,Skilled Manual,6
64,John,Brown,john.brown64@email.com,35934,3,Graduate Degree,Professional,7
65,Jane,Martinez,jane.martinez65@email.com,35573,1,Bachelors,Professional,4
66,Tom,Davis,tom.davis66@email.com,81715,0,Graduate Degree,Professional,2
67,Anna,Martinez,anna.martinez67@email.com,134046,2,Bachelors,Skilled Manual,10
68,Jane,Miller,jane.miller68@email.com,56111,2,Bachelors,Skilled Manual,1
69,Emily,Martinez,emily.martinez69@email.com,123959,4,High School,Professional,6
70,Tom,Rodriguez,tom.rodriguez70@email.com,44762,1,High School,Professional,10
71,Tom,Williams,tom.williams71@email.com,55948,1,High School,Management,5
72,Anna,Garcia,anna.garcia72@email.com,71166,2,Bachelors,Clerical,2
73,Tom,Davis,tom.davis73@email.com,86275,3,Bachelors,Management,5
74,Sarah,Williams,sarah.williams74@email.com,87870,1,High School,Clerical,4
75,Emily,Williams,emily.williams75@email.com,73065,3,Bachelors,Clerical,8
76,Jane,Rodriguez,jane.rodriguez76@email.com,82979,1,Bachelors,Management,7
77,Sarah,Rodriguez,sarah.rodriguez77@email.com,87045,3,High School,Management,10
78,John,Martinez,john.martinez78@email.com,70403,3,High School,Professional,4
79,Mike,Garcia,mike.garcia79@email.com,100169,2,High School,Professional,6
80,David,Davis,david.davis80@email.com,77114,3,Bachelors,Skilled Manual,6
81,Anna,Smith,anna.smith81@email.com,72111,1,High School,Professional,7
82,Sarah,Rodriguez,sarah.rodriguez82@email.com,45556,2,Graduate Degree,Clerical,6
83,Lisa,Smith,lisa.smith83@email.com,58954,3,Bachelors,Clerical,9
84,Anna,Johnson,anna.johnson84@email.com,68621,4,Bachelors,Skilled Manual,2
85,Sarah,Miller,sarah.miller85@email.com,144726,4,High School,Professional,2
86,John,Johnson,john.johnson86@email.com,70462,1,Bachelors,Skilled Manual,3
87,Chris,Rodriguez,chris.rodriguez87@email.com,134296,3,Bachelors,Management,9
88,Jane,Davis,jane.davis88@email.com,86859,4,Graduate Degree,Clerical,7
89,Jane,Brown,jane.brown89@email.com,53605,1,Graduate Degree,Clerical,4
90,Anna,Johnson,anna.johnson90@email.com,72257,0,Graduate Degree,Management,5
91,Chris,Miller,chris.miller91@email.com,136142,3,Graduate Degree,Skilled Manual,7
92,Chris,Brown,chris.brown92@email.com,67289,2,Bachelors,Management,8
93,Chris,Rodriguez,chris.rodriguez93@email.com,30111,2,Bachelors,Clerical,9
94,John,Rodriguez,john.rodriguez94@email.com,38504,1,High School,Management,3
95,Tom,Johnson,tom.johnson95@email.com,82386,0,Bachelors,Clerical,1
96,Jane,Smith,jane.smith96@email.com,112271,4,Graduate Degree,Skilled Manual,4
97,Anna,Williams,anna.williams97@email.com,47341,4,Bachelors,Professional,9
98,Anna,Williams,anna.williams98@email.com,124015,2,Graduate Degree,Skilled Manual,4
99,David,Rodriguez,david.rodriguez99@email.com,36815,0,Graduate Degree,Professional,2
100,Anna,Williams,anna.williams100@email.com,122049,4,High School,Clerical,6
101,Chris,Jones,chris.jones101@email.com,33188,4,High School,Skilled Manual,6
102,Tom,Rodriguez,tom.rodriguez102@email.com,70335,1,High School,Clerical,6
103,Chris,Miller,chris.miller103@email.com,69139,4,Bachelors,Professional,4
104,Chris,Rodriguez,chris.rodriguez104@email.com,64245,2,Bachelors,Management,1
105,Emily,Jones,emily.jones105@email.com,31743,2,Graduate Degree,Professional,10
106,Emily,Davis,emily.davis106@email.com,37441,3,High School,Management,9
107,Mike,Davis,mike.davis107@email.com,123329,2,Graduate Degree,Professional,1
108,Anna,Johnson,anna.johnson108@email.com,106819,3,Bachelors,Professional,6
109,Emily,Rodriguez,emily.rodriguez109@email.com,51933,1,Bachelors,Skilled Manual,9
110,Emily,Davis,emily.davis110@email.com,88470,0,High School,Management,10
111,Sarah,Williams,sarah.williams111@email.com,90796,3,Graduate Degree,Clerical,2
112,John,Garcia,john.garcia112@email.com,36846,4,High School,Management,1
113,Chris,Brown,chris.brown113@email.com,145819,3,Bachelors,Clerical,9
114,Sarah,Brown,sarah.brown114@email.com,48563,3,High School,Skilled Manual,4
115,Anna,Brown,anna.brown115@email.com,139621,4,Graduate Degree,Professional,7
116,David,Miller,david.miller116@email.com,141850,4,Graduate Degree,Skilled Manual,7
117,Anna,Johnson,anna.johnson117@email.com,123214,4,Graduate Degree,Management,6
118,Tom,Martinez,tom.martinez118@email.com,139092,2,Bachelors,Management,1
119,Sarah,Miller,sarah.miller119@email.com,98690,0,High School,Skilled Manual,8
120,Mike,Jones,mike.jones120@email.com,47331,0,Graduate Degree,Management,1
121,Tom,Jones,tom.jones121@email.com,138119,4,Graduate Degree,Management,9
122,Sarah,Miller,sarah.miller122@email.com,57694,4,Bachelors,Professional,5
123,Mike,Davis,mike.davis123@email.com,58345,4,Bachelors,Management,3
124,Chris,Williams,chris.williams124@email.com,136811,2,High School,Management,10
125,Emily,Miller,emily.miller125@email.com,149986,0,High School,Management,7
126,Tom,Williams,tom.williams126@email.com,73629,0,High School,Professional,4
127,Anna,Jones,anna.jones127@email.com,64124,1,Bachelors,Professional,2
128,Jane,Jones,jane.jones128@email.com,66282,1,Bachelors,Skilled Manual,8
129,Tom,Rodriguez,tom.rodriguez129@email.com,130026,1,Graduate Degree,Skilled Manual,2
130,Chris,Rodriguez,chris.rodriguez130@email.com,145814,3,Graduate Degree,Skilled Manual,8
131,Emily,Brown,emily.brown131@email.com,70427,1,Graduate Degree,Management,6
132,Chris,Williams,chris.williams132@email.com,52459,0,Graduate Degree,Skilled Manual,8
133,Chris,Williams,chris.williams133@email.com,148194,2,High School,Professional,2
134,Mike,Miller,mike.miller134@email.com,65241,3,Bachelors,Management,4
135,Tom,Brown,tom.brown135@email.com,44690,0,Bachelors,Professional,2
136,Emily,Miller,emily.miller136@email.com,70900,2,Bachelors,Professional,9
137,Tom,Garcia,tom.garcia137@email.com,35901,4,Bachelors,Skilled Manual,5
138,David,Jones,david.jones138@email.com,74726,1,High School,Professional,5
139,Tom,Brown,tom.brown139@email.com,71312,2,Bachelors,Management,7
140,Sarah,Jones,sarah.jones140@email.com,37697,4,High School,Skilled Manual,2
141,Tom,Davis,tom.davis141@email.com,101931,4,High School,Management,3
142,Chris,Martinez,chris.martinez142@email.com,114637,4,High School,Management,6
143,Tom,Johnson,tom.johnson143@email.com,36861,4,High School,Professional,1
144,Sarah,Brown,sarah.brown144@email.com,119071,3,High School,Skilled Manual,5
145,Mike,Smith,mike.smith145@email.com,65257,4,High School,Skilled Manual,4
146,Sarah,Davis,sarah.davis146@email.com,118269,2,Bachelors,Skilled Manual,7
147,Jane,Smith,jane.smith147@email.com,76096,4,Graduate Degree,Clerical,2
148,Anna,Jones,anna.jones148@email.com,31813,1,Graduate Degree,Professional,1
149,David,Martinez,david.martinez149@email.com,133415,2,Bachelors,Clerical,3
150,John,Smith,john.smith150@email.com,131285,3,High School,Skilled Manual,9
151,Tom,Martinez,tom.martinez151@email.com,95390,0,High School,Professional,7
152,Emily,Rodriguez,emily.rodriguez152@email.com,58969,1,Graduate Degree,Clerical,8
153,Chris,Garcia,chris.garcia153@email.com,80107,0,Graduate Degree,Clerical,7
154,Anna,Miller,anna.miller154@email.com,132829,0,High School,Management,2
155,Lisa,Davis,lisa.davis155@email.com,54485,2,Bachelors,Clerical,2
156,David,Miller,david.miller156@email.com,41816,1,Graduate Degree,Skilled Manual,7
157,Mike,Jones,mike.jones157@email.com,113363,4,High School,Professional,10
158,Chris,Davis,chris.davis158@email.com,57979,1,Graduate Degree,Clerical,1
159,John,Miller,john.miller159@email.com,62227,1,Bachelors,Skilled Manual,3
160,Anna,Jones,anna.jones160@email.com,116204,2,Bachelors,Management,7
161,Sarah,Brown,sarah.brown161@email.com,143680,3,Graduate Degree,Clerical,4
162,Lisa,Johnson,lisa.johnson162@email.com,59831,0,Graduate Degree,Skilled Manual,1
163,David,Smith,david.smith163@email.com,129276,3,Bachelors,Clerical,8
164,John,Williams,john.williams164@email.com,64334,4,Graduate Degree,Skilled Manual,6
165,John,Brown,john.brown165@email.com,115022,0,Graduate Degree,Skilled Manual,2
166,Tom,Williams,tom.williams166@email.com,147363,3,Graduate Degree,Professional,7
167,Lisa,Smith,lisa.smith167@email.com,110306,0,Bachelors,Professional,6
168,John,Miller,john.miller168@email.com,79892,2,High School,Professional,8
169,Jane,Rodriguez,jane.rodriguez169@email.com,65528,4,High School,Clerical,6
170,Sarah,Johnson,sarah.johnson170@email.com,135220,1,Graduate Degree,Clerical,3
171,Emily,Martinez,emily.martinez171@email.com,108572,2,High School,Professional,2
172,Tom,Martinez,tom.martinez172@email.com,89158,2,Graduate Degree,Skilled Manual,9
173,David,Garcia,david.garcia173@email.com,140648,1,High School,Clerical,8
174,John,Brown,john.brown174@email.com,95513,4,Graduate Degree,Professional,2
175,Mike,Martinez,mike.martinez175@email.com,43284,3,Graduate Degree,Clerical,7
176,David,Rodriguez,david.rodriguez176@email.com,31731,2,High School,Management,2
177,Anna,Jones,anna.jones177@email.com,148184,3,High School,Skilled Manual,8
178,Tom,Brown,tom.brown178@email.com,147722,2,Bachelors,Professional,7
179,David,Garcia,david.garcia179@email.com,60285,0,Graduate Degree,Skilled Manual,9
180,Lisa,Johnson,lisa.johnson180@email.com,94553,1,Graduate Degree,Clerical,10
181,David,Brown,david.brown181@email.com,128699,3,High School,Skilled Manual,9
182,John,Williams,john.williams182@email.com,47283,4,Graduate Degree,Management,2
183,Mike,Johnson,mike.johnson183@email.com,75580,0,Bachelors,Skilled Manual,8
184,Tom,Garcia,tom.garcia184@email.com,136200,4,Graduate Degree,Skilled Manual,9
185,Lisa,Johnson,lisa.johnson185@email.com,97951,4,Graduate Degree,Clerical,4
186,Emily,Miller,emily.miller186@email.com,92128,0,Bachelors,Management,3
187,John,Rodriguez,john.rodriguez187@email.com,117961,2,Bachelors,Skilled Manual,3
188,Chris,Johnson,chris.johnson188@email.com,35738,3,High School,Clerical,4
189,Tom,Martinez,tom.martinez189@email.com,66399,0,Graduate Degree,Professional,7
190,Anna,Rodriguez,anna.rodriguez190@email.com,59048,4,Bachelors,Management,4
191,Anna,Jones,anna.jones191@email.com,74482,3,Graduate Degree,Management,5
192,Emily,Miller,emily.miller192@email.com,132841,1,High School,Professional,5
193,Mike,Martinez,mike.martinez193@email.com,55600,4,Graduate Degree,Professional,8
194,Jane,Brown,jane.brown194@email.com,65479,0,Bachelors,Skilled Manual,3
195,Sarah,Williams,sarah.williams195@email.com,107506,0,Bachelors,Professional,10
196,Anna,Jones,anna.jones196@email.com,91922,1,Graduate Degree,Skilled Manual,3
197,John,Jones,john.jones197@email.com,44551,1,High School,Professional,1
198,Lisa,Jones,lisa.jones198@email.com,39583,4,High School,Professional,7
199,Sarah,Smith,sarah.smith199@email.com,41001,1,High School,Clerical,4
200,Sarah,Rodriguez,sarah.rodriguez200@email.com,113538,2,Bachelors,Professional,8
